serialnbr,productcode,batchnbr,Machinetime,Assemblytime,Finishingtime,cost
P4B4136N20,P4,B4136,4.84,5.96,5.99,97.5
P4B4137N11,P4,B4137,5.12,6.25,6.02,99.11
P4B4137N12,P4,B4137,4.99,6.43,5.84,98.46
P4B4137N13,P4,B4137,4.91,6.25,5.95,98.32
P4B4137N14,P4,B4137,4.94,5.81,5.9,96.79
P4B4137N15,P4,B4137,5.07,6.01,5.96,97.97
P4B4137N16,P4,B4137,5.1,6.13,5.75,97.35
P4B4137N17,P4,B4137,5.11,6.26,5.7,97.49
P4B4137N18,P4,B4137,4.9,5.91,6.0,97.5
P4B4137N19,P4,B4137,4.97,5.91,6.14,98.37
P4B4137N20,P4,B4137,5.18,6.07,6.26,99.88
P4B4138N11,P4,B4138,4.89,6.17,5.93,97.93
P4B4138N12,P4,B4138,4.97,6.1,6.23,99.4
P4B4138N13,P4,B4138,5.27,6.08,5.89,98.22
P4B4138N14,P4,B4138,5.06,5.84,5.91,97.19
P4B4138N15,P4,B4138,5.12,6.01,5.97,98.11
P4B4138N16,P4,B4138,4.96,5.94,5.92,97.35
P4B4138N17,P4,B4138,5.3,6.11,6.27,100.28
P4B4138N18,P4,B4138,4.99,6.15,6.0,98.44
P4B4138N19,P4,B4138,5.04,5.51,6.15,97.35
P4B4138N20,P4,B4138,4.84,6.15,5.98,98.04
P4B4139N11,P4,B4139,5.35,6.05,6.14,99.55
P4B4139N12,P4,B4139,5.1,5.69,6.14,97.97
P4B4139N13,P4,B4139,4.85,5.93,5.91,97.03
P4B4139N14,P4,B4139,4.65,6.2,5.91,97.44
P4B4139N15,P4,B4139,4.97,5.84,6.2,98.47
P4B4139N16,P4,B4139,5.03,5.82,6.27,98.86
P4B4139N17,P4,B4139,4.94,6.39,5.8,98.06
P4B4139N18,P4,B4139,4.72,6.06,6.01,97.67
P4B4139N19,P4,B4139,5.02,5.64,6.0,96.95
P4B4139N20,P4,B4139,5.24,6.43,5.69,98.22
P4B4140N11,P4,B4140,5.46,6.02,5.9,98.48
P4B4140N12,P4,B4140,5.07,6.08,6.0,98.38
P4B4140N13,P4,B4140,5.09,5.75,6.09,97.88
P4B4140N14,P4,B4140,4.77,6.0,5.98,97.46
P4B4140N15,P4,B4140,4.83,6.23,5.99,98.29
P4B4140N16,P4,B4140,4.78,5.89,5.61,95.27
P4B4140N17,P4,B4140,5.22,6.35,6.2,100.49
P4B4140N18,P4,B4140,5.16,6.03,5.98,98.32
P4B4140N19,P4,B4140,4.9,6.16,6.03,98.42
P4B4140N20,P4,B4140,4.95,5.9,5.87,96.95
P4B4141N11,P4,B4141,5.25,5.66,5.98,97.39
P4B4141N12,P4,B4141,4.78,6.07,5.91,97.32
P4B4141N13,P4,B4141,4.65,5.86,5.91,96.44
P4B4141N14,P4,B4141,5.03,5.95,6.23,99.04
P4B4141N15,P4,B4141,4.59,5.79,6.07,96.92
P4B4141N16,P4,B4141,4.96,5.91,6.2,98.66
P4B4141N17,P4,B4141,4.94,6.29,5.99,98.7
P4B4141N18,P4,B4141,5.1,6.0,5.68,96.6
P4B4141N19,P4,B4141,4.81,5.75,5.69,95.31
P4B4141N20,P4,B4141,4.99,6.12,5.58,96.23
P4B4142N11,P4,B4142,4.96,5.81,6.2,98.36
P4B4142N12,P4,B4142,4.69,5.85,5.93,96.58
P4B4142N13,P4,B4142,4.86,6.24,5.83,97.6
P4B4142N14,P4,B4142,5.1,6.11,6.26,99.84
P4B4142N15,P4,B4142,5.11,5.66,5.7,95.7
P4B4142N16,P4,B4142,4.58,5.67,6.19,97.11
P4B4142N17,P4,B4142,4.72,5.77,6.09,97.22
P4B4142N18,P4,B4142,5.02,6.03,5.95,97.89
P4B4142N19,P4,B4142,5.02,5.99,6.07,98.37
P4B4142N20,P4,B4142,4.89,6.0,6.03,97.93
P4B4143N11,P4,B4143,5.17,6.06,6.59,101.47
P4B4143N12,P4,B4143,4.92,6.28,5.79,97.62
P4B4143N13,P4,B4143,5.03,6.16,5.74,97.24
P4B4143N14,P4,B4143,4.94,6.09,6.48,100.56
P4B4143N15,P4,B4143,5.0,6.27,5.88,98.22
P4B4143N16,P4,B4143,5.08,6.39,5.87,98.69
P4B4143N17,P4,B4143,5.02,6.05,5.85,97.44
P4B4143N18,P4,B4143,4.85,6.2,5.86,97.59
P4B4143N19,P4,B4143,5.15,5.89,5.67,96.31
P4B4143N20,P4,B4143,4.91,5.79,6.02,97.29
P4B4144N11,P4,B4144,5.02,5.72,5.68,95.59
P4B4144N12,P4,B4144,4.97,5.98,5.72,96.47
P4B4144N13,P4,B4144,4.76,5.81,6.31,98.5
P4B4144N14,P4,B4144,4.99,5.78,5.71,95.87
P4B4144N15,P4,B4144,4.87,6.44,6.58,101.97
P4B4144N16,P4,B4144,5.01,6.16,5.99,98.43
P4B4144N17,P4,B4144,5.14,5.89,5.99,97.89
P4B4144N18,P4,B4144,4.9,5.85,6.0,97.35
P4B4144N19,P4,B4144,4.92,5.64,5.92,96.36
P4B4144N20,P4,B4144,5.21,6.3,5.84,98.52
P4B4145N11,P4,B4145,4.96,6.32,5.7,97.39
P4B4145N12,P4,B4145,4.86,6.16,5.81,97.24
P4B4145N13,P4,B4145,4.75,6.01,6.06,97.82
P4B4145N14,P4,B4145,4.97,5.85,6.28,98.89
P4B4145N15,P4,B4145,4.93,6.13,6.23,99.41
P4B4145N16,P4,B4145,5.04,5.96,6.01,98.0
P4B4145N17,P4,B4145,5.06,5.91,5.72,96.45
P4B4145N18,P4,B4145,5.0,6.06,5.77,97.02
P4B4145N19,P4,B4145,4.83,6.35,5.94,98.41
P4B4145N20,P4,B4145,5.05,5.85,5.82,96.73
P4B4146N11,P4,B4146,5.07,5.9,6.1,98.34
P4B4146N12,P4,B4146,4.55,6.0,5.88,96.51
P4B4146N13,P4,B4146,5.07,6.16,6.02,98.72
P4B4146N14,P4,B4146,5.07,6.07,6.33,100.01
P4B4146N15,P4,B4146,5.17,6.1,6.16,99.43
P4B4146N16,P4,B4146,5.02,6.01,5.89,97.51
P4B4146N17,P4,B4146,5.04,5.85,5.67,96.0
P4B4146N18,P4,B4146,4.81,5.92,6.04,97.57
P4B4146N19,P4,B4146,5.07,5.9,5.91,97.38
P4B4146N20,P4,B4146,5.19,5.86,5.95,97.71
P4B4147N11,P4,B4147,4.77,5.79,5.97,96.76
P4B4147N12,P4,B4147,4.95,5.92,5.83,96.82
P4B4147N13,P4,B4147,5.0,5.94,5.84,96.99
P4B4147N14,P4,B4147,5.23,6.32,6.06,99.74
P4B4147N15,P4,B4147,4.9,5.89,6.04,97.65
P4B4147N16,P4,B4147,5.11,5.81,5.98,97.55
P4B4147N17,P4,B4147,4.6,5.92,6.36,98.75
P4B4147N18,P4,B4147,4.95,6.16,5.82,97.48
P4B4147N19,P4,B4147,4.93,5.83,6.03,97.52
P4B4147N20,P4,B4147,4.93,6.21,6.24,99.69
P4B4148N11,P4,B4148,5.16,6.28,6.01,99.21
P4B4148N12,P4,B4148,4.88,5.65,5.9,96.2
P4B4148N13,P4,B4148,4.96,6.12,6.16,99.09
P4B4148N14,P4,B4148,5.22,5.64,6.3,98.86
P4B4148N15,P4,B4148,4.99,5.68,5.79,95.98
P4B4148N16,P4,B4148,4.97,5.96,6.09,98.27
P4B4148N17,P4,B4148,4.87,6.41,6.13,99.62
P4B4148N18,P4,B4148,5.04,5.81,6.27,98.85
P4B4148N19,P4,B4148,4.97,6.06,5.94,97.8
P4B4148N20,P4,B4148,4.87,6.08,5.69,96.43
P4B4149N11,P4,B4149,5.01,6.2,6.05,98.88
P4B4149N12,P4,B4149,5.12,6.02,6.29,99.75
P4B4149N13,P4,B4149,5.23,6.03,6.18,99.44
P4B4149N14,P4,B4149,5.08,5.81,6.17,98.44
P4B4149N15,P4,B4149,5.02,6.12,5.98,98.3
P4B4149N16,P4,B4149,5.06,6.02,5.92,97.78
P4B4149N17,P4,B4149,5.05,6.17,6.2,99.62
P4B4149N18,P4,B4149,5.24,5.91,5.95,97.95
P4B4149N19,P4,B4149,5.17,6.04,5.73,97.09
P4B4149N20,P4,B4149,5.03,5.97,6.16,98.79
P4B4150N11,P4,B4150,5.02,6.1,6.03,98.5
P4B4150N12,P4,B4150,5.27,6.06,6.1,99.22
P4B4150N13,P4,B4150,4.91,6.15,6.38,100.16
P4B4150N14,P4,B4150,5.23,5.96,6.03,98.47
P4B4150N15,P4,B4150,5.11,6.35,5.86,98.58
P4B4150N16,P4,B4150,5.41,5.73,5.62,96.11
P4B4150N17,P4,B4150,4.95,6.39,5.65,97.3
P4B4150N18,P4,B4150,4.95,5.82,5.85,96.62
P4B4150N19,P4,B4150,5.05,5.9,6.0,97.8
P4B4150N20,P4,B4150,5.02,6.25,5.89,98.24
P4B4151N11,P4,B4151,5.3,5.88,5.95,98.01
P4B4151N12,P4,B4151,5.13,5.8,5.76,96.46
P4B4151N13,P4,B4151,4.92,5.82,5.8,96.31
P4B4151N14,P4,B4151,4.94,5.91,5.87,96.97
P4B4151N15,P4,B4151,4.87,5.89,5.71,95.95
P4B4151N16,P4,B4151,4.77,6.04,5.79,96.62
P4B4151N17,P4,B4151,5.11,6.09,6.13,99.14
P4B4151N18,P4,B4151,5.22,5.92,6.02,98.29
P4B4151N19,P4,B4151,5.04,5.84,6.19,98.54
P4B4151N20,P4,B4151,4.82,6.16,6.06,98.42
P4B4152N11,P4,B4152,4.96,5.95,6.3,99.27
P4B4152N12,P4,B4152,4.91,6.25,5.87,97.92
P4B4152N13,P4,B4152,5.14,6.33,5.75,98.03
P4B4152N14,P4,B4152,5.05,5.93,6.09,98.35
P4B4152N15,P4,B4152,4.95,6.12,6.13,98.9
P4B4152N16,P4,B4152,4.94,6.16,6.02,98.49
P4B4152N17,P4,B4152,5.09,5.73,5.99,97.32
P4B4152N18,P4,B4152,5.05,6.36,5.91,98.72
P4B4152N19,P4,B4152,4.82,6.06,5.5,95.33
P4B4152N20,P4,B4152,5.0,5.97,5.92,97.49
P4B4153N11,P4,B4153,5.23,5.99,5.96,98.2
P4B4153N12,P4,B4153,5.07,5.9,5.92,97.44
P4B4153N13,P4,B4153,5.02,6.09,5.99,98.26
P4B4153N14,P4,B4153,4.51,5.94,6.34,98.54
P4B4153N15,P4,B4153,4.8,5.98,5.86,96.84
P4B4153N16,P4,B4153,5.14,6.2,5.87,98.22
P4B4153N17,P4,B4153,4.8,6.03,5.97,97.55
P4B4153N18,P4,B4153,4.83,5.88,5.67,95.65
P4B4153N19,P4,B4153,5.19,6.07,5.73,97.23
P4B4153N20,P4,B4153,5.03,6.06,5.74,96.94
P4B4154N11,P4,B4154,5.08,5.84,6.12,98.26
P4B4154N12,P4,B4154,4.87,6.42,6.24,100.2
P4B4154N13,P4,B4154,5.17,5.79,6.22,98.81
P4B4154N14,P4,B4154,4.99,6.08,5.77,97.07
P4B4154N15,P4,B4154,4.86,5.77,6.42,99.14
P4B4154N16,P4,B4154,4.9,6.22,6.06,98.76
P4B4154N17,P4,B4154,4.82,5.94,5.64,95.66
P4B4154N18,P4,B4154,5.05,6.16,5.93,98.23
P4B4154N19,P4,B4154,4.94,6.17,6.27,99.75
P4B4154N20,P4,B4154,4.7,6.11,6.18,98.64
P4B4155N11,P4,B4155,4.97,5.99,6.28,99.31
P4B4155N12,P4,B4155,5.15,5.7,5.43,94.56
P4B4155N13,P4,B4155,4.91,6.05,6.24,99.17
P4B4155N14,P4,B4155,4.99,5.98,6.07,98.28
P4B4155N15,P4,B4155,4.98,5.82,5.95,97.17
P4B4155N16,P4,B4155,5.16,6.11,5.9,98.14
P4B4155N17,P4,B4155,4.83,5.59,6.14,97.14
P4B4155N18,P4,B4155,5.14,6.1,5.96,98.37
P4B4155N19,P4,B4155,4.96,5.94,5.81,96.8
P4B4155N20,P4,B4155,5.09,6.21,5.9,98.33
P4B4156N11,P4,B4156,4.85,5.92,5.97,97.32
P4B4156N12,P4,B4156,4.96,6.11,5.98,98.16
P4B4156N13,P4,B4156,5.19,5.71,6.34,99.2
P4B4156N14,P4,B4156,4.82,6.01,5.96,97.48
P4B4156N15,P4,B4156,4.74,5.84,6.11,97.54
P4B4156N16,P4,B4156,4.81,6.05,5.76,96.58
P4B4156N17,P4,B4156,4.87,6.1,5.96,97.85
P4B4156N18,P4,B4156,4.95,5.92,6.22,98.77
P4B4156N19,P4,B4156,4.78,6.06,6.08,98.14
P4B4156N20,P4,B4156,5.13,5.62,6.19,98.05
P4B4157N11,P4,B4157,4.92,6.24,5.9,98.06
P4B4157N12,P4,B4157,4.86,5.74,6.01,96.99
P4B4157N13,P4,B4157,4.9,5.97,5.86,96.98
P4B4157N14,P4,B4157,5.03,6.0,5.84,97.26
P4B4157N15,P4,B4157,4.98,6.13,5.93,98.0
P4B4157N16,P4,B4157,5.04,6.35,6.06,99.42
P4B4157N17,P4,B4157,5.0,6.02,6.05,98.33
P4B4157N18,P4,B4157,5.06,5.94,6.02,98.04
P4B4157N19,P4,B4157,5.04,6.21,5.63,96.87
P4B4157N20,P4,B4157,4.95,5.99,5.93,97.52
P4B4158N11,P4,B4158,4.92,5.76,5.81,96.16
P4B4158N12,P4,B4158,4.96,6.02,5.73,96.62
P4B4158N13,P4,B4158,4.89,5.71,6.14,97.59
P4B4158N14,P4,B4158,5.14,6.14,5.91,98.25
P4B4158N15,P4,B4158,5.16,5.99,5.86,97.59
P4B4158N16,P4,B4158,5.3,6.07,5.95,98.56
P4B4158N17,P4,B4158,4.96,6.28,5.93,98.42
P4B4158N18,P4,B4158,5.21,6.15,5.99,98.83
P4B4158N19,P4,B4158,4.99,6.27,6.22,99.88
P4B4158N20,P4,B4158,5.14,5.95,6.18,99.04
P4B4159N11,P4,B4159,4.88,5.94,6.12,98.17
P4B4159N12,P4,B4159,5.19,6.03,5.96,98.27
P4B4159N13,P4,B4159,4.89,6.09,5.7,96.56
P4B4159N14,P4,B4159,5.06,6.47,6.01,99.58
P4B4159N15,P4,B4159,5.0,5.94,5.93,97.47
P4B4159N16,P4,B4159,5.15,6.09,6.12,99.16
P4B4159N17,P4,B4159,4.87,5.57,6.2,97.47
P4B4159N18,P4,B4159,4.93,5.97,5.9,97.25
P4B4159N19,P4,B4159,5.13,6.06,6.0,98.42
P4B4159N20,P4,B4159,5.0,5.81,6.04,97.62
P4B4160N11,P4,B4160,5.03,5.92,6.19,98.78
P4B4160N12,P4,B4160,5.06,6.08,6.23,99.51
P4B4160N13,P4,B4160,4.89,6.37,5.63,97.04
P4B4160N14,P4,B4160,5.05,5.98,6.16,98.85
P4B4160N15,P4,B4160,4.54,6.02,5.93,96.78
P4B4160N16,P4,B4160,4.8,6.44,5.89,98.38
P4B4160N17,P4,B4160,4.96,5.88,5.9,97.06
P4B4160N18,P4,B4160,4.87,5.9,5.66,95.74
P4B4160N19,P4,B4160,5.01,5.91,5.63,95.91
P4B4160N20,P4,B4160,4.98,5.82,6.14,98.11
P4B4161N11,P4,B4161,5.16,5.94,5.69,96.58
P4B4161N12,P4,B4161,4.75,6.05,5.92,97.27
P4B4161N13,P4,B4161,5.19,6.28,5.94,98.93
P4B4161N14,P4,B4161,4.77,6.12,5.6,95.91
P4B4161N15,P4,B4161,5.09,5.69,5.88,96.66
P4B4161N16,P4,B4161,4.93,5.82,6.19,98.27
P4B4161N17,P4,B4161,4.87,5.8,5.97,96.98
P4B4161N18,P4,B4161,5.06,6.19,5.68,97.09
P4B4161N19,P4,B4161,4.95,6.12,6.08,98.67
P4B4161N20,P4,B4161,4.74,5.9,6.13,97.82
P4B4162N11,P4,B4162,4.74,5.76,6.05,97.0
P4B4162N12,P4,B4162,4.9,6.0,5.84,97.0
P4B4162N13,P4,B4162,5.05,5.86,5.66,95.99
P4B4162N14,P4,B4162,5.16,5.87,6.1,98.45
P4B4162N15,P4,B4162,4.85,5.92,5.67,95.81
P4B4162N16,P4,B4162,5.12,6.12,5.93,98.25
P4B4162N17,P4,B4162,5.09,6.03,6.09,98.72
P4B4162N18,P4,B4162,4.91,6.32,6.05,99.04
P4B4162N19,P4,B4162,5.1,6.26,6.11,99.56
P4B4162N20,P4,B4162,4.97,5.81,5.98,97.27
P4B4163N11,P4,B4163,4.86,6.1,6.24,99.21
P4B4163N12,P4,B4163,4.85,5.94,5.98,97.44
P4B4163N13,P4,B4163,5.11,5.79,5.94,97.28
P4B4163N14,P4,B4163,4.83,5.8,5.99,97.02
P4B4163N15,P4,B4163,5.0,6.18,6.09,99.0
P4B4163N16,P4,B4163,5.17,6.11,6.24,99.87
P4B4163N17,P4,B4163,5.44,6.12,5.84,98.44
P4B4163N18,P4,B4163,4.89,5.86,5.92,96.96
P4B4163N19,P4,B4163,5.23,5.92,6.33,99.86
P4B4163N20,P4,B4163,4.88,5.78,6.29,98.54
P4B4164N11,P4,B4164,4.98,5.99,5.74,96.64
P4B4164N12,P4,B4164,4.97,6.06,5.84,97.33
P4B4164N13,P4,B4164,5.08,6.13,6.06,98.85
P4B4164N14,P4,B4164,4.95,5.85,6.11,98.0
P4B4164N15,P4,B4164,4.75,6.14,6.07,98.27
P4B4164N16,P4,B4164,5.19,5.94,6.25,99.43
P4B4164N17,P4,B4164,5.15,6.05,5.97,98.3
P4B4164N18,P4,B4164,4.96,6.04,6.29,99.49
P4B4164N19,P4,B4164,4.79,5.92,6.21,98.39
P4B4164N20,P4,B4164,5.08,5.92,6.04,98.15
P4B4165N11,P4,B4165,5.19,6.08,5.86,97.9
P4B4165N12,P4,B4165,4.82,5.76,6.03,97.06
P4B4165N13,P4,B4165,5.16,5.95,5.98,98.07
P4B4165N14,P4,B4165,4.9,5.83,5.84,96.51
P4B4165N15,P4,B4165,4.71,5.95,5.74,95.97
P4B4165N16,P4,B4165,4.95,5.93,6.2,98.69
P4B4165N17,P4,B4165,5.05,6.09,6.13,99.02
P4B4165N18,P4,B4165,4.81,5.98,5.86,96.83
P4B4165N19,P4,B4165,4.62,6.04,6.2,98.37
P4B4165N20,P4,B4165,4.79,5.83,5.84,96.27
P4B4166N11,P4,B4166,5.02,6.0,5.9,97.53
P4B4166N12,P4,B4166,4.84,6.05,6.15,98.58
P4B4166N13,P4,B4166,4.98,5.84,6.18,98.38
P4B4166N14,P4,B4166,4.94,5.86,5.98,97.36
P4B4166N15,P4,B4166,5.34,5.99,6.11,99.2
P4B4166N16,P4,B4166,4.91,6.36,6.2,99.87
P4B4166N17,P4,B4166,5.17,5.59,6.13,97.76
P4B4166N18,P4,B4166,5.06,6.12,5.94,98.18
P4B4166N19,P4,B4166,4.94,6.19,5.68,96.85
P4B4166N20,P4,B4166,5.23,5.54,5.71,95.63
P4B4167N11,P4,B4167,4.99,5.96,6.23,99.01
P4B4167N12,P4,B4167,5.59,6.36,6.42,102.37
P4B4167N13,P4,B4167,4.75,5.64,5.94,96.12
P4B4167N14,P4,B4167,4.93,5.77,5.93,96.83
P4B4167N15,P4,B4167,4.95,6.17,6.21,99.46
P4B4167N16,P4,B4167,5.05,5.89,5.71,96.33
P4B4167N17,P4,B4167,5.15,5.85,5.97,97.71
P4B4167N18,P4,B4167,4.93,6.03,6.02,98.07
P4B4167N19,P4,B4167,5.03,5.94,5.76,96.69
P4B4167N20,P4,B4167,4.95,6.42,6.06,99.44
P4B4168N11,P4,B4168,5.13,5.85,5.95,97.56
P4B4168N12,P4,B4168,5.28,6.33,6.05,99.8
P4B4168N13,P4,B4168,5.19,5.79,5.88,97.15
P4B4168N14,P4,B4168,5.06,6.5,6.39,101.57
P4B4168N15,P4,B4168,4.87,6.25,6.27,99.83
P4B4168N16,P4,B4168,5.1,5.81,5.91,97.18
P4B4168N17,P4,B4168,5.09,5.86,5.76,96.53
P4B4168N18,P4,B4168,5.17,5.84,6.08,98.26
P4B4168N19,P4,B4168,5.22,6.07,6.03,98.79
P4B4168N20,P4,B4168,5.45,6.23,5.99,99.53
P4B4169N11,P4,B4169,4.88,6.02,6.37,99.68
P4B4169N12,P4,B4169,4.89,6.2,5.75,97.11
P4B4169N13,P4,B4169,5.01,6.15,6.14,99.16
P4B4169N14,P4,B4169,5.07,6.15,5.87,97.95
P4B4169N15,P4,B4169,4.92,6.1,5.93,97.81
P4B4169N16,P4,B4169,4.77,5.98,6.01,97.52
P4B4169N17,P4,B4169,5.2,5.88,5.81,97.09
P4B4169N18,P4,B4169,5.0,6.17,6.06,98.79
P4B4169N19,P4,B4169,4.98,5.93,6.12,98.36
P4B4169N20,P4,B4169,4.84,6.15,5.95,97.88
P4B4170N11,P4,B4170,5.22,6.21,5.99,99.01
P4B4170N12,P4,B4170,4.79,5.86,6.17,98.01
P4B4170N13,P4,B4170,5.04,5.91,5.97,97.66
P4B4170N14,P4,B4170,5.06,5.99,6.33,99.74
P4B4170N15,P4,B4170,4.76,6.26,5.86,97.61
P4B4170N16,P4,B4170,4.69,6.17,6.13,98.54
P4B4170N17,P4,B4170,4.87,6.11,5.84,97.27
P4B4170N18,P4,B4170,4.95,6.01,6.19,98.88
P4B4170N19,P4,B4170,5.0,5.87,6.12,98.2
P4B4170N20,P4,B4170,4.92,6.17,6.12,98.95
P4B4171N11,P4,B4171,4.85,5.93,6.05,97.74
P4B4171N12,P4,B4171,4.84,5.95,6.14,98.24
P4B4171N13,P4,B4171,5.18,5.94,5.98,98.08
P4B4171N14,P4,B4171,4.96,6.2,5.88,97.93
P4B4171N15,P4,B4171,4.62,6.18,5.82,96.87
P4B4171N16,P4,B4171,5.04,6.12,5.8,97.45
P4B4171N17,P4,B4171,5.12,6.12,6.09,99.03
P4B4171N18,P4,B4171,5.11,5.64,6.09,97.61
P4B4171N19,P4,B4171,4.9,5.74,5.9,96.54
P4B4171N20,P4,B4171,5.1,6.1,5.8,97.5
P4B4172N11,P4,B4172,4.94,5.65,5.88,96.23
P4B4172N12,P4,B4172,5.11,6.01,6.05,98.5
P4B4172N13,P4,B4172,4.77,6.04,6.2,98.64
P4B4172N14,P4,B4172,4.95,5.86,6.06,97.79
P4B4172N15,P4,B4172,5.06,5.9,6.0,97.81
P4B4172N16,P4,B4172,4.8,6.15,5.92,97.65
P4B4172N17,P4,B4172,5.13,5.91,6.65,101.23
P4B4172N18,P4,B4172,5.0,5.94,5.83,96.98
P4B4172N19,P4,B4172,4.95,6.09,6.07,98.52
P4B4172N20,P4,B4172,5.08,6.27,5.9,98.46
P4B4173N11,P4,B4173,4.81,6.04,5.64,95.94
P4B4173N12,P4,B4173,5.14,5.91,6.05,98.25
P4B4173N13,P4,B4173,4.88,6.03,6.19,98.81
P4B4173N14,P4,B4173,5.17,6.06,6.09,98.98
P4B4173N15,P4,B4173,5.1,6.22,5.87,98.21
P4B4173N16,P4,B4173,4.81,6.29,6.24,99.7
P4B4173N17,P4,B4173,4.58,6.04,6.15,98.02
P4B4173N18,P4,B4173,4.9,6.13,5.78,97.08
P4B4173N19,P4,B4173,5.2,6.06,6.1,99.09
P4B4173N20,P4,B4173,4.84,6.1,5.89,97.43
P4B4174N11,P4,B4174,5.12,5.93,6.15,98.78
P4B4174N12,P4,B4174,4.79,5.69,5.94,96.34
P4B4174N13,P4,B4174,4.98,6.03,5.96,97.86
P4B4174N14,P4,B4174,5.2,6.04,6.01,98.58
P4B4174N15,P4,B4174,4.88,6.03,5.99,97.78
P4B4174N16,P4,B4174,4.96,5.81,5.73,96.01
P4B4174N17,P4,B4174,5.11,5.93,6.09,98.47
P4B4174N18,P4,B4174,5.23,5.83,5.73,96.61
P4B4174N19,P4,B4174,4.95,6.21,6.19,99.47
P4B4174N20,P4,B4174,5.11,5.87,6.15,98.59
P4B4175N11,P4,B4175,4.67,6.0,6.38,99.24
P4B4175N12,P4,B4175,4.93,5.91,6.36,99.39
P4B4175N13,P4,B4175,4.96,5.93,6.2,98.7
P4B4175N14,P4,B4175,5.07,6.19,5.81,97.76
P4B4175N15,P4,B4175,5.2,5.87,6.04,98.21
P4B4175N16,P4,B4175,5.02,6.24,5.89,98.21
P4B4175N17,P4,B4175,4.96,5.9,5.75,96.37
P4B4175N18,P4,B4175,5.14,6.54,6.2,100.92
P4B4175N19,P4,B4175,4.84,5.88,5.82,96.42
P4B4175N20,P4,B4175,5.07,5.81,6.11,98.12
P4B4176N11,P4,B4176,4.71,6.19,6.14,98.67
P4B4176N12,P4,B4176,5.03,5.75,6.01,97.36
P4B4176N13,P4,B4176,5.22,5.86,5.74,96.74
P4B4176N14,P4,B4176,5.03,5.94,6.11,98.44
P4B4176N15,P4,B4176,5.15,6.01,6.08,98.73
P4B4176N16,P4,B4176,5.02,6.04,5.9,97.66
P4B4176N17,P4,B4176,5.18,5.99,5.79,97.28
P4B4176N18,P4,B4176,4.91,5.99,5.71,96.36
P4B4176N19,P4,B4176,5.12,5.73,5.97,97.3
P4B4176N20,P4,B4176,4.65,6.14,5.94,97.42
P4B4177N11,P4,B4177,5.01,5.86,5.66,95.9
P4B4177N12,P4,B4177,4.74,5.65,6.09,96.89
P4B4177N13,P4,B4177,4.59,6.06,5.66,95.66
P4B4177N14,P4,B4177,4.66,5.55,6.06,96.28
P4B4177N15,P4,B4177,4.82,5.79,6.26,98.32
P4B4177N16,P4,B4177,5.16,5.98,6.14,98.95
P4B4177N17,P4,B4177,4.99,6.23,6.06,98.99
P4B4177N18,P4,B4177,4.91,5.82,6.11,97.83
P4B4177N19,P4,B4177,4.71,5.94,5.64,95.44
P4B4177N20,P4,B4177,5.04,5.86,6.21,98.71
P4B4178N11,P4,B4178,4.65,6.01,5.9,96.85
P4B4178N12,P4,B4178,4.83,6.04,6.1,98.29
P4B4178N13,P4,B4178,5.12,5.91,6.31,99.51
P4B4178N14,P4,B4178,5.02,6.19,6.01,98.67
P4B4178N15,P4,B4178,4.92,5.97,6.2,98.76
P4B4178N16,P4,B4178,4.9,6.01,5.87,97.17
P4B4178N17,P4,B4178,5.24,5.79,6.03,98.02
P4B4178N18,P4,B4178,5.39,5.9,5.9,97.99
P4B4178N19,P4,B4178,5.06,5.99,6.29,99.54
P4B4178N20,P4,B4178,5.07,6.18,5.91,98.23
P4B4179N11,P4,B4179,5.26,5.86,5.79,97.06
P4B4179N12,P4,B4179,4.9,6.0,5.89,97.23
P4B4179N13,P4,B4179,5.0,5.85,6.11,98.09
P4B4179N14,P4,B4179,4.67,5.78,5.99,96.64
P4B4179N15,P4,B4179,5.24,5.91,5.78,97.11
P4B4179N16,P4,B4179,4.92,5.95,5.78,96.59
P4B4179N17,P4,B4179,5.08,6.11,6.05,98.73
P4B4179N18,P4,B4179,5.23,5.53,6.35,98.8
P4B4179N19,P4,B4179,4.99,5.96,6.04,98.06
P4B4179N20,P4,B4179,5.02,5.89,5.6,95.71
P4B4180N11,P4,B4180,5.16,6.09,6.2,99.59
P4B4180N12,P4,B4180,5.03,5.82,6.03,97.67
P4B4180N13,P4,B4180,5.17,5.97,6.04,98.45
P4B4180N14,P4,B4180,4.77,5.48,5.98,95.89
P4B4180N15,P4,B4180,5.09,5.79,6.02,97.64
P4B4180N16,P4,B4180,5.05,5.56,6.24,97.98
P4B4180N17,P4,B4180,4.79,5.85,5.99,97.08
P4B4180N18,P4,B4180,5.01,6.03,6.09,98.56
P4B4180N19,P4,B4180,4.98,6.12,5.96,98.12
P4B4180N20,P4,B4180,5.15,5.65,5.75,96.0
P4B4181N11,P4,B4181,5.04,5.82,5.71,96.08
P4B4181N12,P4,B4181,4.9,5.79,6.05,97.42
P4B4181N13,P4,B4181,5.17,6.44,6.29,101.08
P4B4181N14,P4,B4181,4.89,5.99,6.02,97.86
P4B4181N15,P4,B4181,4.91,6.17,5.85,97.58
P4B4181N16,P4,B4181,4.96,5.79,5.87,96.64
P4B4181N17,P4,B4181,5.09,5.49,5.94,96.35
P4B4181N18,P4,B4181,5.13,5.97,6.16,98.98
P4B4181N19,P4,B4181,5.08,6.27,5.97,98.82
