"BATCHNBR","TEST1","TEST2","TEST3","TEST4","TEST5","TEST6","TEST7","TEST8","TEST9","TEST10","BATCHQUALITY"
"B3356","7.6","5.68","9.3",".9","9.23","2","2.49","5.27","8.36","9.83","good"
"B3357","5.17","7.69","7.28","9.72","2.12","3.37","4.07","3.83","4.17","1.42","good"
"B3358","10","7.15","4.26","2.45","4.89","1.27","4.19","4.3","9.51","1.6","good"
"B3359","3.67","3.63","1","8.43","2.46","6.18","9.71","2.91","7.13","1.28","good"
"B3360","7.8",".48",".72",".32","5.23","5.4","6.1","1.46","5.83",".84","poor"
"B3361","4.89","3.59","2.38","8.73","5.36","9.87","2.08","6.2","8.19","9.47","good"
"B3362","8.42","1.57","2.04","9.05","9.79","7.9","9.06","9.56","3.91","1.3","good"
"B3363",".7","7.7","5.76","9.49","2.13","1.83","6.56","8.97","3.52",".99","good"
"B3364","1.1","3.14","3.51","1.24",".73","4.8","2.87","3.41","8.95","9.49","poor"
"B3365","8.48","3.02","9.92","1",".02","7.62",".03","1.26","5.31","4.33","poor"
"B3366","4.5","8.65","8.56","8.03","5.51",".85","7.78","7.05","4.36","1.62","good"
"B3367","2.18","7.2","8.8",".32","3.44",".67","8.59","6.35","3.59","3.63","good"
"B3368","3.07","4.42","5.46","6.79","8.95","4.32","4.33","6.54","1.68","6.65","good"
"B3369","9.93","8.24","3.54",".13","9.66","1.61","7.55","9.27","3.62","7.7","good"
"B3370",".98","8.55","3.82","2.47","9.33","8.13","4.36","6.41","1.04","7.12","good"
"B3371","9.37","2.5","6.16","3.6","3.24","4.64",".7","6.34","5.74",".78","good"
"B3372","3.94","5.87","6.22","4.64","4.38","4.78","9.21","3.96","5.34","6.82","good"
"B3373","4.54","8.88","4.57","4.38","8.07",".57","9.09","2.13","8.44","4.5","poor"
"B3374","9.36","6.88","3.4","3.44","5.53","2.84","8.52","5.77","8.5","4.92","good"
"B3375","5.13","8.16","3.33","9.2","9.63","8.84","8.71","1.52","2.54","5.95","good"
"B3376","9.11","4.89","7.17","2.01","1.83","8.94","7.54","2.61","6.61","7.96","good"
"B3377","7.71","6.64","9.33",".84",".61","2.47",".82","5.5","1.41","2.2","poor"
"B3378","8.04","9.99","9.38","1.38","8.3","3.36","9.33","8.47","2.14","5.62","good"
"B3379","8.28","4.89","6.48","3.69","3.27","2.63","8.83",".49","3.53","1.4","good"
"B3380","8.22","4.81","4.73","7.41","6.36",".97","3.75","3.05","9.27","2.28","good"
"B3381","1.25","4.87",".36","5.83","2.77","1.19","7.12","9.58","1.6","6.49","poor"
"B3382",".7","3.26","1.88","5.44","1.21","6.91","7.69","3.13","2.61","6.7","good"
"B3383","0","3.62",".78","7","2.95","7.94","6.64","6.05","6.57","5.09","poor"
"B3384","9.35",".19",".33","3.12","9.8","4.7","6.7","3.93","1.37",".71","poor"
"B3385","7.49",".27","4.8","7.28","3.77","8.12","2.85","3.17",".04","8.85","good"
"B3386","9.37","6.4","8.48","6.96","1.74","6.15","1.07","7.63","5.84","1.65","good"
"B3387","4.25","1.13","2.04","7.39","6.88","6.13","3.16","5.69","7.49","4.84","good"
"B3388","9.21",".4","1.36","2.71","7.81","6.91","4.31","6.73","3.53","9.29","good"
"B3389","6.26","7.56","5.61","7.86","7.02","6.95","3.3","3.4","9.05","6.17","good"
"B3390","9.03","4.16","9.75","8.31",".85","1.34","7.36","9.8",".69","2.34","poor"
"B3391",".99","9.16","3.52","1.53","6.21","8.06","2.02","1.9","5.74",".93","good"
"B3392","4.13","2.66","9.94","2.99","7.06","6.45","3.42","1.42","7.23","7.8","good"
"B3393","2.11","4.96","8.89","6.04","1.11","6.73","2.92","8.46",".08","6.22","good"
"B3394","2.11","8.78","2.83","5.54","7.6","6.69","8.86","4.51","2.84","8.6","good"
"B3395","2.95","9.5","1.25","4.58",".67","7.9","9.18","8.76","3.65","9.94","poor"
"B3396","4.17","5.67","8.23","6.29","8.23","9.88","5.08","7.44","7.95","1.38","good"
"B3397","1.47","1.82","9.31","5.22","9.68","2.38","2.49","4.04","1.09","9.24","good"
"B3398","6.09","1.03","5.38",".7","1.88","1.09","2.1","1.3","3.45","9.76","good"
"B3399","7.88","5.99","7.14","2.7","4.65",".8","8.87","4.13","2.34","2.41","good"
"B3400","7.99",".42","4.91","8","8.43","5.02","2.28","3.94","8.82","3.05","good"
"B3401",".9","3.93","2.03","4.1","6.26",".79","8.8","3.95","4.79","5.54","good"
"B3402","5.83","6.69","3.51","5.42","6.35","4.3","4.11","1.83","8.36","7.99","good"
"B3403","8.58","5.35","6.07",".68","6.85","3.29","5.57","5.02","6.77","8.03","good"
"B3404","8.15","6.92","9.56","1.22",".03","2.67","8.86","5.83",".46","8.51","poor"
"B3405","1.25","8.98","5.78","8.42","4.85","4.07","6.37","7.71","1.15","8.17","good"
"B3406","8.07","2.09","4.65","3.6","4.77","4.63","3.26","5.64","1.11","1.12","good"
"B3407","2.28","7.75","5.39","4.05","9.01","9.3","8.11","4","4.72","1.01","good"
"B3408","4.4","5.28",".31","1.85","7.82","7.07","8.04","8.24","1.12","4.35","poor"
"B3409","2.77","8.57","2.4","2.28","9.49","1.07",".31",".31",".58","9.52","good"
"B3410","5.53","2.45","9.6","2.97","8.95","4.05","3.55","4.24","2.32","8.14","good"
"B3411","3.2","7.5","8.49","8.63","4.54","3.66","2.84","8.24","9.25","6.51","good"
"B3412","8.43",".25",".06","4.13","7.39","7.99",".89",".23","6.29","6.44","good"
"B3413","3.52","8.56","2.27","1.61","1.79","1.82","7.32","6.88","6","6.3","good"
"B3414","2.34","9.97","8.15",".02","7.89","2.09","1.05","5.83","3.41","7.81","good"
"B3415","4.59","6.21","7.62","4.54","5.23",".58","8.47","2.28","9.14","4.7","poor"
"B3416","9.04","8.84",".02","1.79","4.97","6.27","9.17","1.94","1.62","9.82","poor"
"B3417","8.25","5.67","3.41",".09","6.69","9.36","2.87","5.94",".27","4.54","good"
"B3418","8.17","8.37","6.15",".37","6.73","2.47","2.47","3.63","1.04","4.29","good"
"B3419","2.37","4.63","2.4","5.1","7.79","2.97","3.4","8.69","2.96","6.48","good"
"B3420","8.58","3.87","6.4","3.27","7.96","2.03",".85","9.16","5.88","9.8","good"
"B3421","5.9","7.54",".92",".66","1.91","9.88","3.22","7.52","3.03","5.74","good"
"B3422","2.45","9.65","8.81","9.7","1.88","7.45","8.78","4.57","6.78","4.9","good"
"B3423","8.3","8.43","9.18","2.58","4.73","9.88","4.6","3.54","1.48","5.2","good"
"B3424","1.48",".01","1.75","7.82","5.25","3.49","5.24","6.79","4.04",".97","good"
"B3425","9","2.54","3.99","5.97","1.18","8.93","5.94","8.39","7.18","5.27","good"
"B3426",".63","7.04","1.88","4.5",".1","9.88","1.46","7.78","1.04","6.33","poor"
"B3427",".55",".32","6.8","3.64","5.97","6.76","3.81","9.08","6.24","2.89","good"
"B3428","4.26","2.38","3.37","9.78","3.82","2.02","6.25","6.37","2.33","1.66","good"
"B3429","6.93","2.21","1.06",".29","1.93","2.01","4.97","5.38","9.4","3.89","good"
"B3430","7.98","4.46","9.31","9.24","7.21",".44","3.92","7.07","2.72","8.04","poor"
"B3431","6.16","4.21","8.21","5.45",".22","2.31","9.98",".79","8.55","6.55","good"
"B3432","10","7.88",".45",".32","3.02",".29","5.91","3.76","8.63","9.67","poor"
"B3433","6.75","3.56","7.78","9.01","1.08","8.12",".02","6.75","8.39",".46","good"
"B3434",".37","1.22","5.29","7.86","8.67","2.99","6.85","8.74","9.32","4.13","good"
"B3435","9.82","8.59","3.55","5.47","7.71",".92","9.82","6.01","9.45","3.93","good"
"B3436","8.49","4.91","5.85","1.01","5.04","5.92","3.18","6.44","9.35","7.93","good"
"B3437","8.01","8.69","8.03","8.15","8.38","9.12","9.8","8","5.41","9.7","good"
"B3438","6.73","3.75","6.15","2.44","8.71","4.28",".61","1.66","3.46",".57","good"
"B3439","1.55","4.22","8.54","5.76","2.62","9.7","8.04","7.67","4.81","9.29","good"
"B3440","8.59","2.51","3.2",".32","6.09","7.1","4.34","1.36","1.95","7.05","good"
"B3441","6.06","3.33","3.22","1.91",".64","7.93","9.7","8.16","2.55",".75","poor"
"B3442","4.14","3.73","9.55","9.36","8.63","2.17","3.34",".06","7.6","5.58","good"
"B3443","7.8","5.3","6.76","1.3","3.17",".75","1.57","3.26","9.94","3.37","good"
"B3444","4.83","6.37","9.9","5.63",".36","3.89","3.39","5.59","5.36","3.63","poor"
"B3445","8.96","4.61","8.07","9.14","6.32","7.71","8.72","6.68","9.2","4.27","good"
"B3446","1.17","1.97","4.87","4.93","3.55",".27","5.4","2.03","8.59","5.3","poor"
"B3447","9.77","7.92","9.28","1.36","6.19","4.94","6.95","7.42","2.1",".13","good"
"B3448","1.95","3.66","1.88","2.32","7.87","2.99","8.97","9.17","7.38","2.19","good"
"B3449",".63","6.28","1.02","9.72","2.33","3.27","4.21","1.14","5.58","7.93","good"
"B3450","3.68","5.33","1.91","4.59","8.74","9.52","8.97","2.87","1.97","9.5","good"
"B3451","1.92","2.72","9.11",".46","6.19",".2","6.58","9.63","9.14","6.72","poor"
"B3452","2.16","2.69",".87","7.96",".53","4.02",".34","4.14","4.1","1.74","poor"
"B3453","4.55","9.86","2.81","7","6.39","9.72",".91","5.54",".13","2.67","good"
"B3454","8.42","8.86","6.31","2.89",".13","4.22","7.24","3.17","9.3","5.17","poor"
"B3455","1.85",".89","4.95","4.21","7.49","6.38","4.81","3.16","2.67","5.97","good"
"B3456","3.23","3.75",".61","8.31","5.93","9.29","2.35","5.31","4.07",".51","poor"
"B3457","9.37","1.57","2.93","1.26","7.59","1.75",".86","1.26","8.95","6.61","good"
"B3458","6.32","3.79",".83","5.29","8.52","8.33","3.02","4.37","3.83","7.35","good"
"B3459","8.31","2.94","8.81","6.51","3.71","2.56","8.66","3.87","9.33","1.8","good"
"B3460","6.86","7.06","4.97","2.93","9.35","8.32","9.95",".52","9.03","4.56","good"
"B3461","1.71","3.08","5.41","4.37","8.66","9.28","9.49","3.54",".68","1.32","good"
"B3462","4.62",".57","5.94","5.76",".35","1.9","6.9","1.37","3.43","6.11","good"
"B3463","8.95","6.11","6.73","2.72",".15","4.27","6.99","4.54","3.19","6.44","poor"
"B3464","8.99","1.45","7.57","8.15","6.41","2.75","4","1.11","2.95","2.4","good"
"B3465","9.05","5.12","6.03","2.19","1.07","1.72","3.94","3.16","8.16","1.95","good"
"B3466",".15","8.84",".75","9.54","8.01","5.53","3.84",".74",".68",".39","poor"
"B3467","6.43","3","7.64","9.93","8.98","3.92",".98","1.34","9.22","2.75","good"
"B3468",".53","2.97","6.88",".19","1.88","1.08","4.8","9.7","9.48","2.35","good"
"B3469","5.1","2.63","9.97","4.15","7.6","6.95","9.57","7.29","8.98","5.47","good"
"B3470","4.25","8.12","9.55","1.44","3.91","8.79",".65","9.32","1.28","7.27","good"
"B3471","9.13","5.19","1.63","2.54","6.68","1.04","7.15",".23","3.56","5.92","good"
"B3472","1.96",".81","2.64","8.77","3.45","6.32","3.57",".76",".49","8.71","good"
"B3473","6.98","3.58","6.08","9.67","6.63","9.15","5.12",".34","4.16","2.78","good"
"B3474","4.75","1.51","3.77","2.62",".56","2.7","8.92","2.63","6.43","7.32","poor"
"B3475","9.38","5.38","3.81","7.93","2.89","3.57","8.51","9.98","5.43","8.06","good"
"B3476","7.9","4.62","4.11","5.65","4.81","7.05","4.47","9.35","7.29","6.51","good"
"B3477",".89","9.2","4.21","8.24","8.88","1.4","4.12","5.66","7.83","9.34","good"
"B3478","5.77","6.69",".97","4.54","7.57","8.59",".82","5.13","5.03","1.14","good"
"B3479","9.01","5.17","8.34","6.75","2.32","2.99","3.3","6.87","7.58","3.6","good"
"B3480","4.77",".73","5.1","9","3.89","7.98",".14","9.1","1.93","7","good"
"B3481","4.42","3.07","6.2","9.08","4.72","5.45","4.48","4.48","8.75",".51","good"
"B3482","9.09","5.06","5","2.97",".51","8.83","3.62","7.48","9.55","2.6","poor"
"B3483","4.87","3.47","4.89","6.38","4.72","4.02","4.59","1.48","1.84",".81","good"
"B3484","1.02","3.77","3","7.03","3.19","8.24","3.52","4.5","5.43","4.07","good"
"B3485","7.14","5.72","8.54","1.62","5.07","4.43","1.99","5.48","6.76","5.74","good"
"B3486","5.37","5.17","3.62","9.89","1.52","6.18","6.47","6","9.69","2.41","good"
"B3487","7.13","4.63","4.29","8.15","4.9","3.55",".66","7.64","4.15","3.9","good"
"B3488","6.7","2",".75","5.1","5.03","3.89","8.69","2.53","9.96","8.54","poor"
"B3489","1.09","9.31","9.65","3.17","9.39","3.12",".66","2.63","3.85","9.86","good"
"B3490","3.13","7.66","2.04",".17","7.16","4.57","4.92","5.91","4.97","5.72","good"
"B3491","6.43","5.87","1.05","6.56","7.9","3.83","1.98",".21",".8","4.25","good"
"B3492","5.55","7.52","4.32","8.66","9.74","9.9","9.29","5.2","8.32","1.65","good"
"B3493","8.71","5.35","6.44","5.12","3.03",".31","4.29","1.61","2.87","1.9","poor"
"B3494",".11","7.03","4.74","6.01","9.84",".11","2.01","6.18",".94","9.09","poor"
"B3495",".1","2","4.68","4.54",".55","6.76","3.75","9.19","9.82","5.61","poor"
"B3496","2.55","1.7","3.59","8.91","8.95","7.98","7.92","2.75",".19","4.2","good"
"B3497","6.1","8.11",".48","2.58","7.65","6.41","5.93","8.37","5.89","2.95","poor"
"B3498","3.05","1.34","7.17","9.52","8.89","6.16","7.1","3.23","6.13","7.13","good"
"B3499","5.65","7.26","4.87","1.73","1.9","6.1","6.26","5.8","6.02","3.73","good"
"B3500","5.69","9.74","6.06","4.41","8.2","7.65","5","5.29","7.47","1.27","good"
"B3501","4",".29","5.67",".26","7.18","1.29","3.74","4.11","3.58",".55","good"
"B3502",".13","4.57",".61",".55","4.94","1.59","5.37","3.92","8.89","7.04","good"
"B3503","9.4","7.72",".89","5.58","8.82","1.53","2.55","6.79","9.9","6.91","good"
"B3504","3.02","8.98",".66","4.56","1.24","2.61","4.82","2.91",".95","2.71","poor"
"B3505",".92","7.38","6.33",".49","7.52",".03","2.81","4.14","9.59","7.6","poor"
"B3506","2.65","4.65","3.14","3.17","9.61","3.31","1.4","7.51",".29","4.35","good"
"B3507",".39","3.58","8.22","6.93","9.16","1.74","8.18","8.53","5.25","6.02","good"
"B3508","5.11","6.56","7.07","2.31","5.57","1.16","6.77","5.3","2.67","6.45","good"
"B3509","8.65",".95","5.91","2.39","5.95","9.43","2.8",".34","6.09","1.7","good"
"B3510","7.16","8.25","8.92","3.37","3.64","3.16","2.3","3.74","3.46","7.25","good"
"B3511","9.23","2.44",".55","1.83","3.3",".64","1.76","8.32","8.28","2.61","poor"
"B3512","4.85","7.18","7.92","3.92","3.14","3.88","8.59","7.58","9.73","8.28","good"
"B3513","3.31","1.33","7.88","5.61",".58","1.67","5.84","4.39","2.27","4.7","poor"
"B3514","8.32","7.26","8.79","6.43","7.03","2.71","8.18","6.07","8.1","1.27","good"
"B3515","5.87","9.17","4.57","5.19","3.09","3.51","4.05","1.58","4.56","6.91","good"
"B3516","5.59",".34","2.51","2.24","7.71","2.92","5.01","5.08","5.46","8.57","good"
"B3517","5.36","5.2","6.85","3.12","2.8","2.86","8.78","6.49",".32","3.82","good"
"B3518","5.41",".08","3.89","6.98","3.51","5.01","1.34","3.54","4.46","5.61","good"
"B3519","8.68","2.12","7.74","7.7","6.93","9.92","5.73","5.64","8.16","6.55","good"
"B3520","5.34",".08",".53","6.24","5.21","7.9",".66","7.85","1.54","9.02","poor"
"B3521","7.06","8.95","7.35",".17",".61","3.66",".04","8.85","6.71","4","poor"
"B3522","5.65","8.7",".78","9.51","2.26","2.83","1.49","9.66",".37","2.27","good"
"B3523","8.22","0","1.88","8.86","2.54","8.31","2.18","7.67","1.36","6.68","good"
"B3524","6.75","8.92","4.8","3.04","1.27",".4","6.34","8.77","9.13","3.32","poor"
"B3525","4.99","6.89","1.06","2.61","4.83","3.61","6.26","9.76","2.11","4.76","good"
"B3526","9.52","1.55","3.9","5.56","6.94","2.2",".02","3.76","9.69",".35","good"
"B3527","6.46","3.51","6.75","9.07","8.2","2.59","3.19","4.81","8.85","6.68","good"
"B3528","9.18","5.48","9.1","8.54","8.97","1.84","8.31","8.05","9.4","8.34","good"
"B3529","9.91","2.28","6.06","6.54","1.05","9.78","5.01","9.41","3.45","1.77","good"
"B3530","8.59","8.84","8.44","3.01","5.06","6.78","8.36","5.15",".63","2.91","good"
"B3531","6.08","9.29","6.95","4.32","4.79","8.35","4.23","7.12","3.32","7.98","good"
"B3532","7.31","2.09","2.92","1.54","5.12","6.19","2.35","2.3",".04","8.92","good"
"B3533","4.52","4.97","1",".88",".6","1.82","9.78","4.9","3.02","4.27","poor"
"B3534","3.9","6.16","7.96","5.2","2.58","9.32","6.07","5.97","4.18","8.14","good"
"B3535","7.05","9.05","3.92","1.38","5.59","3.85","1.25","6.64","3.8","6.23","good"
"B3536","7.61","6.07","4.3","9.37","6.72","1.1","7.94","8.59","7.7","3.33","good"
"B3537","2.09","6.29","6.8","2.53","3.27",".8","3.33","3.29","2.71",".29","good"
"B3538","5.74","8.6",".79","7.69","2.58","1.03","4.65","3.84","8.19","6.23","poor"
"B3539","5.15","8.99","7.78","5.07","7.47",".3","8.02","2.03","4.42","4.49","poor"
"B3540","4.17","5.59","8.61",".43","9.58","7.14","8.66","5.74","9.95","5.45","good"
"B3541","6.49","3.33","7.31","6.26",".53","1.51","4.56","4.85","6.55","9.06","poor"
"B3542","9.56",".1","4.08","8.79","5.11","4.36","9.11","2.17","1.44","7.48","good"
"B3543","1.8","1.21","5.33","6.7","6.43","8.51","6.31","9.75","3.46","3.82","good"
"B3544","3.59","8.45","8.99","7.77","9.19","4.99","4.4","3.71","3.48","6.93","good"
"B3545","4.7","9.27","3.08",".31","5.29",".64","9.66","8.54","4.82","7.67","good"
"B3546","8.81","2.61","7.25","7.66","3.84","9.1","9.54","7.84","9.16","8.95","good"
"B3547","9.81","3.14","9.53","7.46","4.13","5.28","2.89",".74","2.96",".32","good"
"B3548","1.85","1.21","5.14","8.68","2.83","9.38","8.19","8.6",".26","5.64","good"
"B3549","3.95","2.84","3.17","2.72","8.28","4.2",".89","8.63","9.34","8.96","good"
"B3550","8.74","9.07","8.9","3.26",".96","9.35",".12","4.67","4.69","8.25","poor"
"B3551","5.74","3.8",".56","6.08","8.58","6.02","5.93","3.82","9.88","1.71","poor"
"B3552",".65",".82","4.97","9.77",".67","3.15","2.24","9.56","1.69","5.98","poor"
"B3553","6.05","1.1","3.67","6.41","8.09","2.41","9.86","5.42","5.47","8.51","good"
"B3554","8.78","2.47","4.73","3.26","5.38","5.77","7.13","5.66",".54",".77","good"
"B3555","4.16","9.14","1.04","3.32","5.28","6.06","2.34","3.84","1.04","4.34","good"
"B3556","8.17","2.67","4.71","6.19",".62","3.03","4.43","1.46","6.92","9.37","poor"
"B3557",".44",".04","7.83","1.45","8.49","5.84","5.97","9.38","8.96","2.06","good"
"B3558","8.21","9.52","1.17","1.38","4.11","1.6",".8","1.62","4.63","1.85","good"
"B3559","8.25",".62","6.99","5.61","9.14","1.48","5.11","7.14","3.23","4.17","good"
"B3560","2.49","7.93","3.05","4.34",".21","7.22",".97","2.59","6.2","8.12","poor"
"B3561","8.36","9.53","8.2","9.69","4.26","9.86","3.6","5.41","7.32","2.68","good"
"B3562","6.41","8.03","8.72","1.26","6.37","4.13","7.6",".8","2.71","8.61","good"
"B3563","9.8","8.55","9.21","7","5.57","1.14","4.29","1.38","3.97","1.74","good"
"B3564","1.7","9.52","6.03","4.62","2.87","2.39","8.28","4.46","1.03","7.47","good"
"B3565","5.72",".91","3.91","2.96","4.85","1","7.36","2.5","5.7","3.1","good"
"B3566","6.13","8.41","1.37","9.15","4.6","2.47","6.64","5.09","6.24","4.33","good"
"B3567","2.17","9.86","6.41","8.5","3.39","6.01",".78","1.31","1.18","6.55","good"
"B3568","2.07","9.56","6.75","8.54","7.59","8.4","6.78","2.87","2.18","6.35","good"
"B3569","4.34","7.89","7.42","4.31","4.55","4.77","1.5","9.86","3.63",".99","good"
"B3570",".01",".4","4.45","2.07",".59","6.06","7.12","9.22","1.55","4","poor"
"B3571","5.31",".37","1.8","8.77","1.18","3.26","4.29","3.9","9.16","9.8","good"
"B3572","9.42","7","1.63",".89","1.14","9.34","8.04","6.92","7.76","4.55","good"
"B3573","6.97","8.36","2.64","6.36","10","5.73","5.41","9.36","1.99","7.08","good"
"B3574","6.46",".37","3.51","5.58","2.08","9.73","8.35","8.9","1.3","8.55","good"
"B3575","8.21","4.46","6.64","9.85","5.93","5.06","9.24","6.18","7.98","4.66","good"
"B3576","4.27","4.94","2.01",".98","1.29","7.77",".87","4.53","2.9","8.16","good"
"B3577",".2","4.21","5.04",".43","4.86","2.03","9.02","3.56","8.6",".97","good"
"B3578",".43","3.2","6.35","6.63","7.59","5.5","1.35","4.16","6.67","2.12","good"
"B3579","9.2","8.32","6.28","7.18","3.25","8.78","4.59",".43","1.45","1.59","good"
"B3580","3.96","4.03","3.38","2.25","3.27","9.92","9.12","6.77","3.98",".62","good"
"B3581","6.35","7.97",".2","1.22",".07","5.75",".4","6.85","4.03","4.74","poor"
"B3582","4.73","5.89","2.13","5.26","5.9","2.58","3.76","8.6","8.28","9.32","good"
"B3583","6.46","7.84","7.58","8.14","5.11","8.94","8.53","7.17","4.45","1.37","good"
"B3584","4.24",".98","2.27","9.7","2.96","1.34","5.74","1.48","3.41","6.52","good"
"B3585",".9",".51","8.48","6.01","2.48",".56","4.64","8.74","2",".49","poor"
"B3586","8.3","4.07","4.49","6.45","2.51","5.35","5.94","6.17","3.51","7.54","good"
"B3587","1.95","1.51","5.59","2.47","2.67","7.73","7.77","8.19","9.21","7.41","good"
"B3588","8.89","4.83","5.1","9.93","9.13","6.94","5.74","8.16","1.85","8.97","good"
"B3589","6.79","7.28","5.63","8.8","8.86","9.61","2.41","7.53","8.35","6.78","good"
"B3590","9.02","1.41","1.08","2.07","1.69","7.83","4.21","2.05","4.26","3.33","poor"
"B3591","1.32","3.18",".97","8.8","6.57","9.58","2.97","2.8","2.28","6.9","good"
"B3592","9.13","8.97","6.36","3.71","3.94","5.79","5.86","2.07","6.04","4.64","good"
"B3593","5.36","3.34","8.99","9.6",".83","1.4","5.28","5.01","1.17","1.61","poor"
"B3594","1.17",".54",".82","8.03","4.86","2.15","2.25","6","3.06","1.91","good"
"B3595",".07","1.39","1.14","5.15","4.79","3.75","1.22","2.23","2.28","3.98","good"
"B3596","3.17","7.45","9.08","1.61","2.09","8.37","8.25",".99","5.91","2.39","good"
"B3597","2.18","6.3","6.8","2.76","8.67","1.56",".31","8.18","3.39","7.53","good"
"B3598","1.83",".21","4.23","2.55","2.44","2.78","9.8","9.06","5.17","7.65","good"
"B3599","8.58","9.54","9.64","9.82","6.85","6.83",".71","6.42","5.3",".7","good"
"B3600","6.25","8.7","6.36","2.08","3.32","3.61","2.87",".37","2.76","2.13","good"
"B4101","3.9","9.75","5.01","2.19",".62","8.99",".05","4.44","4.44",".38","poor"
"B4102","7.71","2.01","9.21","7.39","8.86","8.92","9.57","2.81","9.3","3.32","good"
"B4103","1.99","7.89","6.43","8.25","6.82","8.2","7.59","1.5","7.27","7.42","good"
"B4104","6.59","4.1","2.18","5.96","6.22","2.9","4.2","9.26","7.09","3.98","good"
"B4105","5.58","4.85","4.79","7.24","9.79","7","6.56","5.77","4.45","8.37","good"
"B4106",".12","9.19","9.87",".11",".75","7.18","7.59","3.71","6.17","7.06","poor"
"B4107","6.94","8.44","7.07","7.08",".21",".94","7.12","2.2","8.15","9.52","poor"
"B4108","4.55","8.03","5.46","5.11","2.21","5.77","7.96","6.54","9.25","7.32","good"
"B4109","3.86","3.58","2.29","3.49",".75","5.53",".79","3.92","3.97",".48","poor"
"B4110","6.91","1.57","8.17","8.82","2.33","3.43","9.04","8.44","3.61","2.06","good"
"B4111","6.31","8.64","3.28","4.88","1.69","5.36","9.68","5.02","6.87","9.53","good"
"B4112","9.42","5.89",".86","6.26","2.2","1.95","3.03","0","7.61",".77","good"
"B4113","9.87","6.29",".99","1.09","4.94","7.29",".1","8.43","6.06","5.44","good"
"B4114","6.79","5.73","8.97","9.91","3.16","2.44","1.57","7.24","6.05","2.73","good"
"B4115","7.6","6.38","6.98","5.74","4.05","2.7","2.4","6.23",".67","9.99","good"
"B4116","5.08","7.26","2.07","9.05","3.64","1.96","7.09","5.44","8.84",".55","good"
"B4117","1.34","7.37","4.85","1.87","5.19","4.62","2.79",".46","4.62","8.05","good"
"B4118",".28","2.41","7.04",".84","1.07","2.3",".59","8.54","3.46","8","good"
"B4119","3.3","2.08","1.62","8.73","6.78","9.06","4.98","9.17","4.08","2.92","good"
"B4120",".28","7.93","1.95","7.68","8.79","1.97","2.31","3.28","2.8","9.5","good"
"B4121",".19",".64","3.31","3.35","2.77","1.07",".36","7.3",".86","6.76","good"
"B4122","8","1.88","6.54","3.19","9.61",".7","6.09","1.9","4.25","5.54","good"
"B4123","4.65","6.19","4.96","5.11","8.45","6.24","1.26","7.35","6.65","4.22","good"
"B4124",".32","6.97","1.03","2.86","8.87","2.34",".82","1.45","2.43","3.47","good"
"B4125","8.76","1.06","4.64","9.67","2.06",".67","1.08","7.69","2.72","6.67","good"
"B4126","7.55","5.83","9.31","2.54","4.24","8.7",".26","4.14","3.62","6.26","good"
"B4127","8.66","1.93","4.23","2.54","8.8","3.62","5.26","4.17","7.33","5.33","good"
"B4128","2.43",".79","4.36","8.01","9.4","1.98","4.3","5.63","2.43","5.38","good"
"B4129","4.11","7.19","4.05","2.47","3.72","8.93","8.91","8.08","3.98","6.97","good"
"B4130","7.24","4.53","5.43","1.01","1.07","6.59","7.77","2.65","4.71",".8","good"
"B4131","8.85","3.38","3.21",".73","1.93","9.43","1.08","6.45","9","5.33","good"
"B4132","4.51","3.93","1.12","4.81","9.52","4.75","3.08",".24","9.64","7.37","good"
"B4133","3.54","1.41","3.53","9.1",".48","5.96","4.37","1.96","8.7","2.25","poor"
"B4134","2.85","2.54","9.55","1.4","5.48","6.78","9.83","9.9","9.17","8.14","good"
"B4135","6.94","4.72",".84","5.09","2.61","8.16","4.14","4.57","8.68",".86","good"
"B4136","1.24","9","1.21","7.17","5.89",".92","9.72","8.55","1.25","6.07","good"
"B4137","6.33","5.96","2.31","6.25",".6","5.25","5.87","9.92","8.96","3.7","poor"
"B4138","8.25","4.95","1.74","2.1","4.14","5.8","5.12",".28","2.75",".73","good"
"B4139","2.07","5.44","6.94","8.06","9","3.43","6.37","9.43","4.66","9.06","good"
"B4140","3.58","1.51",".61","6.95","1.99","5.38","9.25","8.45","2.78","5.38","poor"
"B4141","4.49","2.48","7.16","5.04","2.12","8.21","6.31","5.42","3.62",".67","good"
"B4142",".93","1.56","6.15",".66","2.43","3.39","3.87","6.96","9.24","1","good"
"B4143","2.03","9.06","6.63","1.79","5.75","2.35","9.66","1.92","6.92","3.28","good"
"B4144","5.96","6.96","1.96","1.8","3.96","5.86","6.25","6.95","3.43","2.45","good"
"B4145",".97","4.48","3.82","9.76","5.67","4.74","5.58","6.22","1.49","6.72","good"
"B4146","2","6.3","2.86","3.02","6.35","6.15","9.55",".49","5.47","8.89","good"
"B4147","7.04","9.78","1.13","3.71","8.78","5.98","9.91","8.45","5.01","2.43","good"
"B4148","5.12","6.66","3.23","4.18","5.05","5.22","6","6.38","6","3.24","good"
"B4149","1.87","6.74","5.23","1.68","2.62","1.8",".42","4.68","4.28","9.48","good"
"B4150",".28","9.77","6.69","1.09","1.7","2.61",".86","9.55","8.94","3.83","good"
"B4151","9.15","3.53","7.82","9.02",".11","7.66","4.45","5.91","4.71","9.37","poor"
"B4152","7.43","3.59","7.74","4.07","1.97","6.79","3.28","4.25","7.54",".62","good"
